#,Nome,Fuori lista,Sq.,Under,R.,R.MANTRA,PGv,MV,FM,FVM/1000,QUOT.,FantaSquadra,Costo
5585,Malen,,Roma,27,A,Pc,1,8.5,9,207,34,,
2764,Martinez L.,,Inter,29,A,Pc,1,5.5,5,184,35,,
4871,Thuram,,Inter,29,A,Pc,0,0,0,132,29,,
6052,Hojlund,,Napoli,23,A,Pc,1,5.5,5.5,129,28,,
254,Dimarco,,Inter,29,D,E/W,1,6,6,127,32,,
6875,Paz N.,,Como,22,C,T/A,1,5.5,6,124,30,,
2194,Calhanoglu,,Inter,32,C,M/C,1,7,7,118,27,,
6397,Ramos G.,,Milan,25,A,Pc,1,6,6,114,27,,
4777,McTominay,,Napoli,30,C,C/T,1,6,6,114,28,,
5951,Kolo Muani,,Juventus,28,A,Pc,1,5,5,106,26,,
2167,Orsolini,,Bologna,29,C,W/A,1,5.5,5,96,26,,
2097,Kean,,Fiorentina,26,A,Pc,1,6,5.5,94,25,,
7017,Douvikas,,Como,27,A,Pc,1,6.5,6.5,85,20,,
2423,Pulisic,,Milan,28,C,T/A,0,0,0,80,25,,
6434,Yildiz,,Juventus,21,A,A,1,5.5,5.5,75,23,,
2379,Rabiot,,Milan,31,C,C/T,1,7.5,7.5,73,22,,
2137,Scamacca,,Atalanta,27,A,Pc,1,6,5.5,62,19,,
5637,Davis K.,,Udinese,28,A,Pc,0,0,0,55,19,,
2517,De Bruyne,,Napoli,35,C,T,1,7.5,7.5,54,15,,
7071,Esposito F.P.,,Inter,21,A,Pc,1,7.5,7.5,53,16,,
531,Berardi,,Sassuolo,32,A,A,0,0,0,51,18,,
6435,Krstovic,,Atalanta,26,A,Pc,1,7,7,50,18,,
5995,De Ketelaere,,Atalanta,25,A,A,1,6,6,49,17,,
7126,Baturina,,Como,23,C,T,1,5.5,5.5,49,19,,
309,Dybala,,Roma,33,A,A,1,8,8.5,48,14,,
7556,Mora,,Roma,19,C,T,1,6.5,6,48,19,,
5559,Da Cunha,,Como,25,C,C/T,1,6,6.5,44,18,,
632,Zaccagni,,Lazio,31,C,W/A,1,6,6,44,16,,
6060,Laurientè,,Sassuolo,28,A,A,1,6,6,43,15,,
6908,Atta,,Fiorentina,23,C,C/T,1,5,5,43,17,,
2766,Zaniolo,,Udinese,27,C,T/A,1,6.5,6.5,43,18,,
7181,Wesley,,Roma,23,D,E,1,6.5,6.5,41,17,,
2061,Simeone,,Torino,31,A,Pc,1,5.5,5.5,40,15,,
1870,Barella,,Inter,29,C,C,1,6,6,40,17,,
4998,Molina N.,,Roma,28,D,E,0,0,0,40,18,,
6572,Castro S.,,Roma,22,A,Pc,1,6,6,38,14,,
4510,Leao,,Milan,27,A,A,0,0,0,38,18,,
4371,Raspadori,,Atalanta,26,A,A,1,7,7,38,13,,
5687,Vlasic,,Torino,29,C,T,1,5,5,38,14,,
5841,Svilar,,Roma,27,P,Por,1,6,6,38,18,,
4973,McKennie,,Juventus,28,C,C,1,6,6.5,35,17,,
6884,Conceicao,,Juventus,24,C,W/A,1,6.5,6.5,34,12,,
2848,Frattesi,,Lazio,27,C,C/T,1,7.5,7,34,7,,
5116,Martinez Jo.,,Inter,28,P,Por,1,6,6,32,17,,
7351,Santos A.,,Napoli,24,A,W/A,1,6,5.5,31,14,,
2788,Bremer,,Juventus,29,D,Dc,1,7.5,7,30,15,,
6675,Dovbyk,,Bologna,29,A,Pc,1,5,5.5,29,16,,
